Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_11061,dispensable,S,ABC-2 family transporter protein,-,ABC-2 type transport system permease protein[K01992],-,-,-,-,-
cluster_11062,dispensable,S,ABC-2 family transporter protein,-,ABC-2 type transport system permease protein[K01992],-,-,-,-,-
cluster_11063,dispensable,L,Belongs to the 'phage' integrase family,-,-,-,-,-,-,-
cluster_11064,dispensable,C,belongs to the prokaryotic molybdopterin-containing oxidoreductase family,Nitrate reductase (quinone)[1.7.5.1],"nitrate reductase / nitrite oxidoreductase, alpha subunit[K00370]; selenate/chlorate reductase subunit alpha[K17050]",Nitrogen metabolism[map00910]; Microbial metabolism in diverse environments[map01120]; Two-component system[map02020],Nitrite + Acceptor + H2O <=> Nitrate + Reduced acceptor[R00798]; 2 Ferricytochrome c + Nitrite + H2O <=> Nitrate + 2 Ferrocytochrome c + 2 H+[R01106]; Nitrate + Hydroquinone <=> Nitrite + Quinone + H2O[R09497],-,-,Nitrogen Cycle: Nitrate reduction
cluster_11065,dispensable,S,Predicted permease,-,uncharacterized protein[K07089],-,-,-,-,-
cluster_11066,dispensable,E,DNA primase activity,DNA helicase[3.6.4.12],DNA primase[K02316]; putative DNA primase/helicase[K06919]; twinkle protein[K17680],DNA replication[map03030],-,-,-,-
cluster_11067,dispensable,M,domain protein,-,fibronectin-binding protein B[K13733],Bacterial invasion of epithelial cells[map05100],-,-,-,-
cluster_11068,dispensable,-,-,-,-,-,-,-,-,-
cluster_11069,unique,V,Beta-lactamase,-,putative pyoverdin transport system ATP-binding/permease protein[K06160],ABC transporters[map02010],-,-,-,-
cluster_11070,unique,-,-,-,-,-,-,-,-,-
cluster_11071,dispensable,S,"Protein of unknown function, DUF600",-,-,-,-,-,-,-
cluster_11072,dispensable,-,-,-,-,-,-,-,-,-
cluster_11073,dispensable,-,-,-,-,-,-,-,-,-
cluster_11074,unique,S,Domain of unknown function (DUF1934),-,-,-,-,-,-,-
cluster_11075,dispensable,-,-,-,-,-,-,-,-,-
cluster_11076,dispensable,-,-,-,-,-,-,-,-,-
cluster_11077,dispensable,K,transcriptional,-,"MarR family transcriptional regulator, teicoplanin-associated locus regulator[K21454]",-,-,-,-,-
cluster_11078,dispensable,-,-,-,transposase[K07487],-,-,-,-,-
cluster_11079,dispensable,GM,ABC-2 type transporter,-,lipopolysaccharide transport system permease protein[K09690]; teichoic acid transport system permease protein[K09692],ABC transporters[map02010],-,-,-,-
cluster_11080,dispensable,GM,ABC-2 type transporter,-,lipopolysaccharide transport system permease protein[K09690]; teichoic acid transport system permease protein[K09692],ABC transporters[map02010],-,-,-,-
cluster_11081,dispensable,KTV,Regulatory protein BlaR1,Beta-lactamase[3.5.2.6],bla regulator protein blaR1[K02172]; methicillin resistance protein[K02547]; beta-lactamase class D[K17838]; beta-lactamase class D OXA-42[K19209]; beta-lactamase class D OXA-12[K19213]; beta-lactamase class D OXA-22[K21276]; beta-lactamase class D OXA-114[K22335]; beta-lactamase class D OXA-29[K22352],beta-Lactam resistance[map01501],Penicillin + H2O <=> Penicilloic acid[R06363],beta-lactam sensor/signal transducer,Drug: Beta-lactam (Methicillin),-
cluster_11082,dispensable,-,-,-,-,-,-,-,-,-
cluster_11083,dispensable,V,Type I restriction modification DNA specificity domain,Site-specific DNA-methyltransferase (adenine-specific)[2.1.1.72]; Type I site-specific deoxyribonuclease[3.1.21.3],"type I restriction enzyme, S subunit[K01154]; type I restriction enzyme M protein[K03427]",-,-,-,-,-
cluster_11084,dispensable,M,"the rest of the oligosaccharide is released intact. Cleaves the peptidoglycan connecting the daughter cells at the end of the cell division cycle, resulting in the separation of the two newly divided cells. Acts as an autolysin in penicillin-induced lysis (By similarity)",Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase[3.2.1.96]; N-acetylmuramoyl-L-alanine amidase[3.5.1.28],mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase[K01227]; N-acetylmuramoyl-L-alanine amidase[K01447]; bifunctional autolysin[K13714],Other glycan degradation[map00511],N-Acetylmuramoyl-Ala + H2O <=> N-Acetylmuramate + L-Alanine[R04112],-,-,-
cluster_11085,dispensable,E,amino acid,-,"basic amino acid/polyamine antiporter, APA family[K03294]",-,-,-,-,-
cluster_11086,dispensable,L,5'-3' exonuclease,DNA-directed DNA polymerase[2.7.7.7],DNA polymerase I[K02335],Purine metabolism[map00230]; Pyrimidine metabolism[map00240]; Metabolic pathways[map01100]; DNA replication[map03030]; Base excision repair[map03410]; Nucleotide excision repair[map03420]; Homologous recombination[map03440],dATP + DNA <=> Diphosphate + DNA[R00375]; dGTP + DNA <=> Diphosphate + DNA[R00376]; dCTP + DNA <=> Diphosphate + DNA[R00377]; dTTP + DNA <=> Diphosphate + DNA[R00378],-,-,-
cluster_11087,dispensable,-,-,-,-,-,-,-,-,-
cluster_11088,dispensable,K,"Acetyltransferase, gnat family",-,uncharacterized N-acetyltransferase[K00680],-,-,-,-,-
cluster_11089,dispensable,G,"Phosphotransferase system, EIIC",-,-,-,-,-,-,-
cluster_11090,dispensable,V,Abi-like protein,-,-,-,-,-,-,-
cluster_11091,dispensable,K,Cro/C1-type HTH DNA-binding domain,-,-,-,-,-,-,-
cluster_11092,dispensable,NU,competence protein comGA,-,competence protein ComGA[K02243]; general secretion pathway protein E[K02454]; type IV pilus assembly protein PilB[K02652],Bacterial secretion system[map03070]; Biofilm formation - Vibrio cholerae[map05111],-,-,-,-
cluster_11093,dispensable,M,Phage tail tape measure protein,-,-,-,-,-,-,-
cluster_11094,dispensable,-,-,-,-,-,-,-,-,-
cluster_11095,dispensable,M,Bacterial capsule synthesis protein PGA_cap,-,gamma-polyglutamate biosynthesis protein CapA[K07282],-,-,-,-,-
cluster_11096,dispensable,D,Relaxase/Mobilisation nuclease domain,-,chemotaxis protein MotB[K02557]; type III secretion translocon protein HrpF[K18376],Bacterial chemotaxis[map02030]; Flagellar assembly[map02040],-,-,-,-
cluster_11097,dispensable,-,-,-,-,-,-,-,-,-
cluster_11098,dispensable,S,Isoprenylcysteine carboxyl methyltransferase (ICMT) family,-,methyltransferase[K16168],-,-,-,-,-
cluster_11099,dispensable,U,TraM recognition site of TraD and TraG,-,type IV secretion system protein VirD4[K03205],Bacterial secretion system[map03070],-,-,-,-
cluster_11100,dispensable,D,Belongs to the SEDS family,-,rod shape determining protein RodA[K05837],-,-,-,-,-
cluster_11101,dispensable,S,Glyoxalase bleomycin resistance protein dioxygenase superfamily protein,"Catechol 2,3-dioxygenase[1.13.11.2]","catechol 2,3-dioxygenase[K07104]",Chlorocyclohexane and chlorobenzene degradation[map00361]; Benzoate degradation[map00362]; Xylene degradation[map00622]; Styrene degradation[map00643]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Degradation of aromatic compounds[map01220],"Catechol + Oxygen <=> 2-Hydroxymuconate semialdehyde[R00816]; 2,3-Dihydroxytoluene + Oxygen <=> 2-Hydroxy-6-keto-2,4-heptadienoate[R04089]; 4-Methylcatechol + Oxygen <=> 2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde[R05295]; 3-Vinylcatechol + Oxygen <=> 2-Hydroxy-6-oxoocta-2,4,7-trienoate[R05404]; 4-Chlorocatechol + Oxygen <=> 5-Chloro-2-hydroxymuconic semialdehyde[R05406]; 3-Sulfocatechol + Oxygen + H2O <=> 2-Hydroxymuconate + Sulfite[R07795]",-,-,-
cluster_11102,dispensable,S,Accessory Sec system protein Asp1,-,accessory secretory protein Asp1[K12268],-,-,-,-,-
cluster_11103,dispensable,V,type I restriction-modification system,Site-specific DNA-methyltransferase (adenine-specific)[2.1.1.72],type I restriction enzyme M protein[K03427],-,-,-,-,-
cluster_11104,dispensable,L,IstB-like ATP binding protein,-,DNA replication protein DnaC[K02315]; putative replication protein[K10762]; primosomal protein DnaI[K11144],-,-,-,-,-
cluster_11105,dispensable,L,IstB-like ATP binding protein,-,DNA replication protein DnaC[K02315]; putative replication protein[K10762]; primosomal protein DnaI[K11144],-,-,-,-,-
cluster_11106,dispensable,EGP,Sugar (and other) transporter,-,-,-,-,-,-,-
cluster_11107,dispensable,U,Relaxase/Mobilisation nuclease domain,-,uncharacterized protein[K07126],-,-,-,-,-
cluster_11108,dispensable,S,Protein of unknown function (DUF1405),-,-,-,-,-,-,-
cluster_11109,dispensable,M,Putative rRNA methylase,-,2-O-methyltransferase[K21402],-,-,-,-,-
cluster_11110,dispensable,S,sex pheromone,-,-,-,-,-,-,-
cluster_11111,unique,L,Single-stranded DNA-binding protein,-,single-strand DNA-binding protein[K03111],DNA replication[map03030]; Mismatch repair[map03430]; Homologous recombination[map03440],-,-,-,-
cluster_11112,dispensable,S,"Protein of unknown function, DUF536",-,-,-,-,-,-,-
cluster_11113,dispensable,-,-,-,-,-,-,-,-,-
cluster_11114,dispensable,S,secretory antigen,N-acetylmuramoyl-L-alanine amidase[3.5.1.28],N-acetylmuramoyl-L-alanine amidase[K22409],-,-,-,-,-
cluster_11115,dispensable,S,Protein of unknown function (DUF1002),-,-,-,-,-,-,-
cluster_11116,dispensable,S,DNA primase,-,putative DNA primase/helicase[K06919],-,-,-,-,-
cluster_11117,dispensable,L,Replication initiation factor,-,putative DNA relaxase[K07467],-,-,-,-,-
cluster_11118,dispensable,M,sporulation resulting in formation of a cellular spore,-,-,-,-,-,-,-
cluster_11119,dispensable,S,N-terminal phage replisome organiser (Phage_rep_org_N),-,-,-,-,-,-,-
cluster_11120,dispensable,K,Helix-turn-helix domain,-,putative transcriptional regulator[K07726],-,-,-,-,-
cluster_11121,dispensable,D,Plasmid recombination enzyme,-,-,-,-,-,-,-
cluster_11122,dispensable,C,Belongs to the globin family,Nitric oxide dioxygenase[1.14.12.17]; Ferredoxin--NAD(+) reductase[1.18.1.3],nitric oxide dioxygenase[K05916]; toluene monooxygenase electron transfer component[K15765],Toluene degradation[map00623]; Sulfur metabolism[map00920]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Degradation of aromatic compounds[map01220]; Salmonella infection[map05132],Benzyl alcohol + 2 Oxidized ferredoxin + H2O <=> Toluene + Oxygen + 2 Reduced ferredoxin + 2 H+[R02550]; Toluene + Oxygen + NADPH + H+ <=> 3-Cresol + NADP+ + H2O[R03562]; Toluene + NADH + H+ + Oxygen <=> 4-Cresol + NAD+ + H2O[R05666]; Methanesulfonic acid + NADH + H+ + Oxygen <=> Formaldehyde + NAD+ + Sulfite + H2O[R09513],-,-,-
cluster_11123,dispensable,C,Belongs to the globin family,Nitric oxide dioxygenase[1.14.12.17]; Ferredoxin--NAD(+) reductase[1.18.1.3],nitric oxide dioxygenase[K05916]; toluene monooxygenase electron transfer component[K15765],Toluene degradation[map00623]; Sulfur metabolism[map00920]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Degradation of aromatic compounds[map01220]; Salmonella infection[map05132],Benzyl alcohol + 2 Oxidized ferredoxin + H2O <=> Toluene + Oxygen + 2 Reduced ferredoxin + 2 H+[R02550]; Toluene + Oxygen + NADPH + H+ <=> 3-Cresol + NADP+ + H2O[R03562]; Toluene + NADH + H+ + Oxygen <=> 4-Cresol + NAD+ + H2O[R05666]; Methanesulfonic acid + NADH + H+ + Oxygen <=> Formaldehyde + NAD+ + Sulfite + H2O[R09513],-,-,-
cluster_11124,dispensable,D,Plasmid recombination enzyme,Site-specific DNA-methyltransferase (adenine-specific)[2.1.1.72],"type I restriction enzyme M protein[K03427]; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family[K03466]",-,-,-,-,-
cluster_11125,dispensable,-,-,-,transposase[K07487],-,-,-,-,-
cluster_11126,dispensable,D,Plasmid recombination enzyme,Site-specific DNA-methyltransferase (adenine-specific)[2.1.1.72],"type I restriction enzyme M protein[K03427]; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family[K03466]",-,-,-,-,-
cluster_11127,dispensable,H,Belongs to the precorrin methyltransferase family,Precorrin-2 dehydrogenase[1.3.1.76]; Uroporphyrinogen-III C-methyltransferase[2.1.1.107]; Uroporphyrinogen-III synthase[4.2.1.75]; Sirohydrochlorin ferrochelatase[4.99.1.4],uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase[K02302]; uroporphyrin-III C-methyltransferase[K02303]; uroporphyrinogen III methyltransferase / synthase[K13542],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120],Siroheme + 2 H+ <=> Fe2+ + Sirohydrochlorin[R02864]; Hydroxymethylbilane <=> Uroporphyrinogen III + H2O[R03165]; 2 S-Adenosyl-L-methionine + Uroporphyrinogen III <=> 2 S-Adenosyl-L-homocysteine + Precorrin 2[R03194]; Precorrin 2 + NAD+ <=> Sirohydrochlorin + NADH + H+[R03947],-,-,-
cluster_11128,unique,I,Steryl acetyl hydrolase,-,-,-,-,-,-,-
cluster_11129,dispensable,S,Protein of unknown function (DUF1033),-,-,-,-,-,-,-
cluster_11130,dispensable,P,Small Multidrug Resistance protein,-,small multidrug resistance pump[K03297]; multidrug resistance protein EbrA[K11814]; multidrug resistance protein EbrB[K11815],-,-,-,-,-
cluster_11131,dispensable,D,Plasmid recombination enzyme,Site-specific DNA-methyltransferase (adenine-specific)[2.1.1.72],"type I restriction enzyme M protein[K03427]; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family[K03466]",-,-,-,-,-
cluster_11132,dispensable,P,Small Multidrug Resistance protein,-,small multidrug resistance pump[K03297]; multidrug resistance protein EbrA[K11814]; multidrug resistance protein EbrB[K11815],-,-,-,-,-
cluster_11133,dispensable,-,-,-,-,-,-,-,-,-
cluster_11134,dispensable,S,CHAP domain,-,-,-,-,-,-,-
cluster_11135,dispensable,S,Putative HNHc nuclease,-,-,-,-,-,-,-
cluster_11136,dispensable,-,-,-,-,-,-,-,-,-
cluster_11137,dispensable,-,-,-,-,-,-,-,-,-
cluster_11138,dispensable,-,-,-,-,-,-,-,-,-
cluster_11139,dispensable,-,-,-,-,-,-,-,-,-
cluster_11140,dispensable,S,Bacterial mobilisation protein (MobC),-,-,-,-,-,-,-
cluster_11141,dispensable,J,Pseudouridine synthase,23S rRNA pseudouridine(1911/1915/1917) synthase[5.4.99.23],23S rRNA pseudouridine1911/1915/1917 synthase[K06180],-,-,-,-,-
cluster_11142,dispensable,L,Recombinase,-,site-specific DNA recombinase[K06400],-,-,-,-,-
cluster_11143,dispensable,E,Homoserine dehydrogenase,Homoserine dehydrogenase[1.1.1.3]; Aspartate kinase[2.7.2.4],homoserine dehydrogenase[K00003]; bifunctional aspartokinase / homoserine dehydrogenase 1[K12524],"Glycine, serine and threonine metabolism[map00260]; Monobactam biosynthesis[map00261]; Cysteine and methionine metabolism[map00270]; Lysine biosynthesis[map00300]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Biosynthesis of amino acids[map01230]",ATP + L-Aspartate <=> ADP + 4-Phospho-L-aspartate[R00480]; L-Homoserine + NAD+ <=> L-Aspartate 4-semialdehyde + NADH + H+[R01773]; L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+[R01775],-,-,-
cluster_11144,dispensable,S,Bacterial mobilisation protein (MobC),-,-,-,-,-,-,-
cluster_11145,dispensable,L,Bacterial DNA topoisomerase I DNA-binding domain,DNA topoisomerase[5.99.1.2],DNA topoisomerase III[K03169],-,-,-,-,-
cluster_11146,dispensable,S,Haloacid dehalogenase-like hydrolase,Sugar-phosphatase[3.1.3.23]; Beta-phosphoglucomutase[5.4.2.6],beta-phosphoglucomutase[K01838]; mannitol-1-/sugar-/sorbitol-6-phosphatase[K19270],Starch and sucrose metabolism[map00500],beta-D-Glucose 1-phosphate <=> beta-D-Glucose 6-phosphate[R02728]; beta-D-Glucose 1-phosphate <=> D-Glucose 6-phosphate[R11310],-,-,-
cluster_11147,dispensable,S,AAA domain,Deleted entry[3.6.1.3],ATP-dependent target DNA activator[K07132],-,-,-,-,-
cluster_11148,dispensable,S,Bacterial mobilisation protein (MobC),-,-,-,-,-,-,-
cluster_11149,dispensable,-,-,-,-,-,-,-,-,-
cluster_11150,dispensable,M,epimerase dehydratase family,"CDP-glucose 4,6-dehydratase[4.2.1.45]","CDP-glucose 4,6-dehydratase[K01709]",Amino sugar and nucleotide sugar metabolism[map00520],CDP-glucose <=> CDP-4-dehydro-6-deoxy-D-glucose + H2O[R02426],-,-,-
cluster_11151,dispensable,S,YolD-like protein,-,-,-,-,-,-,-
cluster_11152,dispensable,S,Bacterial mobilisation protein (MobC),-,-,-,-,-,-,-
cluster_11153,dispensable,-,-,-,-,-,-,-,-,-
cluster_11154,dispensable,-,-,-,-,-,-,-,-,-
cluster_11155,dispensable,M,"domain, Protein",-,peptidoglycan-binding protein ArfA[K16191]; large repetitive protein[K20276],Quorum sensing[map02024],-,-,-,-
cluster_11156,dispensable,M,"domain, Protein",-,peptidoglycan-binding protein ArfA[K16191]; large repetitive protein[K20276],Quorum sensing[map02024],-,-,-,-
cluster_11157,dispensable,S,Replication initiator protein A (RepA) N-terminus,-,-,-,-,-,-,-
cluster_11158,dispensable,-,-,-,-,-,-,-,-,-
cluster_11159,dispensable,-,-,-,-,-,-,-,-,-
cluster_11160,dispensable,U,Relaxase/Mobilisation nuclease domain,-,uncharacterized protein[K07126],-,-,-,-,-
cluster_11161,dispensable,S,Staphostatin A,-,-,-,-,-,-,-
cluster_11162,dispensable,S,alcohol dehydrogenase,"L-erythro-3,5-diaminohexanoate dehydrogenase[1.4.1.11]","dipicolinate synthase subunit A[K06410]; L-erythro-3,5-diaminohexanoate dehydrogenase[K18012]",Lysine degradation[map00310],"(3S,5S)-3,5-Diaminohexanoate + H2O + NAD+ <=> (S)-5-Amino-3-oxohexanoic acid + Ammonia + NADH + H+[R03349]",-,-,-
cluster_11163,dispensable,T,Member of the two-component regulatory system GraR GraS involved in resistance against cationic antimicrobial peptides (CAMPs). GraS probably functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to GraR,Histidine kinase[2.7.13.3],"two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS[K11629]; two-component system, OmpR family, sensor histidine kinase GraS[K19077]",Cationic antimicrobial peptide (CAMP) resistance[map01503]; Two-component system[map02020],-,-,-,-
cluster_11164,dispensable,T,Member of the two-component regulatory system GraR GraS involved in resistance against cationic antimicrobial peptides (CAMPs). GraS probably functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to GraR,Histidine kinase[2.7.13.3],"two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS[K11629]; two-component system, OmpR family, sensor histidine kinase GraS[K19077]",Cationic antimicrobial peptide (CAMP) resistance[map01503]; Two-component system[map02020],-,-,-,-
cluster_11165,dispensable,G,Belongs to the GPI family,Glucose-6-phosphate isomerase[5.3.1.9],glucose-6-phosphate isomerase[K01810],Glycolysis / Gluconeogenesis[map00010]; Pentose phosphate pathway[map00030]; Starch and sucrose metabolism[map00500]; Amino sugar and nucleotide sugar metabolism[map00520]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200],alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate[R02739]; alpha-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate[R02740]; beta-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate[R03321],-,-,-
cluster_11166,dispensable,F,"Catalyzes an amino-pyrimidine hydrolysis reaction at the C5' of the pyrimidine moiety of thiamine compounds, a reaction that is part of a thiamine salvage pathway",Aminopyrimidine aminohydrolase[3.5.99.2],thiaminase (transcriptional activator TenA)[K03707],Thiamine metabolism[map00730]; Metabolic pathways[map01100],Thiamine + H2O <=> 4-Amino-5-hydroxymethyl-2-methylpyrimidine + 5-(2-Hydroxyethyl)-4-methylthiazole + H+[R02133]; 4-Amino-5-aminomethyl-2-methylpyrimidine + H2O <=> 4-Amino-5-hydroxymethyl-2-methylpyrimidine + Ammonia[R09993],-,-,-
cluster_11167,dispensable,C,pyridine nucleotide-disulfide oxidoreductase,NADH peroxidase[1.11.1.1],NADH peroxidase[K05910],-,-,-,-,-
cluster_11168,dispensable,K,Regulates arginine biosynthesis genes,-,transcriptional regulator of arginine metabolism[K03402],-,-,-,-,-
cluster_11169,dispensable,E,Gamma-glutamyltranspeptidase,Gamma-glutamyltransferase[2.3.2.2]; Glutathione gamma-glutamate hydrolase[3.4.19.13],gamma-glutamyltranspeptidase / glutathione hydrolase[K00681],Taurine and hypotaurine metabolism[map00430]; Cyanoamino acid metabolism[map00460]; Glutathione metabolism[map00480]; Metabolic pathways[map01100],Glutathione + H2O <=> Cys-Gly + L-Glutamate[R00494]; Glutathione + L-Amino acid <=> Cys-Gly + (5-L-Glutamyl)-L-amino acid[R01262]; (5-L-Glutamyl)-peptide + Taurine <=> Peptide + 5-L-Glutamyl-taurine[R01687]; Leukotriene C4 + Amino acid <=> Leukotriene D4 + 5-L-Glutamyl amino acid[R03867]; R-S-Glutathione + H2O <=> R-S-Cysteinylglycine + L-Glutamate[R03916]; 3-Cyano-L-alanine + L-Glutamate <=> gamma-Glutamyl-beta-cyanoalanine + H2O[R03970]; 3-Aminopropiononitrile + L-Glutamate <=> gamma-Glutamyl-beta-aminopropiononitrile + H2O[R03971]; (5-L-Glutamyl)-peptide + Se-Methyl-L-selenocysteine <=> Peptide + gamma-Glutamyl-Se-methylselenocysteine[R04935],-,-,-
cluster_11170,dispensable,-,-,-,-,-,-,-,-,-
cluster_11171,dispensable,E,ABC transporter substrate-binding protein,-,glycine betaine/proline transport system substrate-binding protein[K02002]; methyl-accepting chemotaxis protein[K03406],ABC transporters[map02010]; Two-component system[map02020]; Bacterial chemotaxis[map02030],-,-,-,-
cluster_11172,dispensable,S,ABC transporter,-,macrolide transport system ATP-binding/permease protein[K18231],ABC transporters[map02010],-,ABC-F type ribosomal protection protein,Drug: Macrolide,-
cluster_11173,dispensable,S,"Protein of unknown function, DUF536",-,-,-,-,-,-,-
cluster_11174,dispensable,-,-,-,-,-,-,-,-,-
cluster_11175,dispensable,S,Belongs to the UPF0637 family,-,-,-,-,-,-,-
cluster_11176,dispensable,L,L COG3328 Transposase and inactivated derivatives,-,putative transposase[K07493],-,-,-,-,-
cluster_11177,dispensable,S,Virulence-associated protein E,-,putative DNA primase/helicase[K06919],-,-,-,-,-
cluster_11178,dispensable,S,Uncharacterized conserved protein (DUF2075),-,uncharacterized protein[K09384],-,-,-,-,-
cluster_11179,dispensable,L,L COG3328 Transposase and inactivated derivatives,-,putative transposase[K07493],-,-,-,-,-
cluster_11180,dispensable,-,-,-,-,-,-,-,-,-
cluster_11181,dispensable,P,Rhodanese Homology Domain,-,-,-,-,-,-,-
cluster_11182,dispensable,M,Glycosyl transferases group 1,Poly(glycerol-phosphate) alpha-glucosyltransferase[2.4.1.52],poly(glycerol-phosphate) alpha-glucosyltransferase[K00712],-,-,-,-,-
cluster_11183,dispensable,-,-,-,-,-,-,-,-,-
cluster_11184,dispensable,S,Metal-dependent hydrolases of the beta-lactamase superfamily I,Ribonuclease Z[3.1.26.11],ribonuclease Z[K00784],-,-,-,-,-
cluster_11185,dispensable,E,Arginine ornithine antiporter,-,putrescine:ornithine antiporter[K03756]; arginine:ornithine antiporter / lysine permease[K03758],-,-,-,-,-
cluster_11186,dispensable,L,L COG3328 Transposase and inactivated derivatives,-,putative transposase[K07493],-,-,-,-,-
cluster_11187,dispensable,L,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine,Uracil-DNA glycosylase[3.2.2.27],uracil-DNA glycosylase[K03648],Base excision repair[map03410],-,-,-,-
cluster_11188,dispensable,S,LysE type translocator,-,L-lysine exporter family protein LysE/ArgO[K06895],-,-,-,-,-
cluster_11189,dispensable,K,Cold shock protein CspA,-,cold shock protein[K03704],-,-,-,-,-
cluster_11190,dispensable,L,DNA-invertase Bin3,-,-,-,-,-,-,-
cluster_11191,dispensable,P,Belongs to the Fur family,-,"Fur family transcriptional regulator, zinc uptake regulator[K02076]; Fur family transcriptional regulator, ferric uptake regulator[K03711]",-,-,-,-,-
cluster_11192,dispensable,P,Belongs to the Fur family,-,"Fur family transcriptional regulator, zinc uptake regulator[K02076]; Fur family transcriptional regulator, ferric uptake regulator[K03711]",-,-,-,-,-
cluster_11193,dispensable,-,-,-,-,-,-,-,-,-
cluster_11194,dispensable,E,"ABC transporter, ATP-binding protein",ABC-type polar-amino-acid transporter[3.6.3.21],polar amino acid transport system ATP-binding protein[K02028],-,-,-,-,-
cluster_11195,dispensable,L,DNA-invertase Bin3,-,-,-,-,-,-,-
cluster_11196,dispensable,D,Domain of Unknown Function (DUF1542),-,chemotaxis protein MotB[K02557]; type III secretion translocon protein HrpF[K18376]; trimeric autotransporter adhesin[K21449],Bacterial chemotaxis[map02030]; Flagellar assembly[map02040],-,-,-,-
cluster_11197,dispensable,D,Domain of Unknown Function (DUF1542),-,chemotaxis protein MotB[K02557]; type III secretion translocon protein HrpF[K18376]; trimeric autotransporter adhesin[K21449],Bacterial chemotaxis[map02030]; Flagellar assembly[map02040],-,-,-,-
cluster_11198,dispensable,L,DNA recombination,Protein-glutamate O-methyltransferase[2.1.1.80]; Protein-glutamate methylesterase[3.1.1.61]; Rhomboid protease[3.4.21.105],"DNA repair protein RecN (Recombination protein N)[K03631]; two-component system, chemotaxis family, CheB/CheR fusion protein[K13924]; rhomboid protease GluP[K19225]",Two-component system[map02020]; Bacterial chemotaxis[map02030],-,-,-,-
cluster_11199,dispensable,S,"Protein of unknown function, DUF600",-,-,-,-,-,-,-
cluster_11200,dispensable,S,AAA domain,-,-,-,-,-,-,-
cluster_11201,unique,I,Carboxylesterase family,-,-,-,-,-,-,-
cluster_11202,dispensable,EGP,Major facilitator family,-,-,-,-,-,-,-
cluster_11203,dispensable,EGP,Major facilitator family,-,-,-,-,-,-,-
cluster_11204,dispensable,-,-,-,-,-,-,-,-,-
cluster_11205,dispensable,EH,component II,Aminodeoxychorismate synthase[2.6.1.85]; Anthranilate synthase[4.1.3.27],anthranilate synthase component II[K01658]; para-aminobenzoate synthetase component II[K01664]; para-aminobenzoate synthetase[K13950],"Phenylalanine, tyrosine and tryptophan biosynthesis[map00400]; Phenazine biosynthesis[map00405]; Folate biosynthesis[map00790]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Biosynthesis of amino acids[map01230]; Quorum sensing[map02024]; Biofilm formation - Pseudomonas aeruginosa[map02025]",Chorismate + Ammonia <=> Anthranilate + Pyruvate + H2O[R00985]; Chorismate + L-Glutamine <=> Anthranilate + Pyruvate + L-Glutamate[R00986]; Chorismate + L-Glutamine <=> 4-Amino-4-deoxychorismate + L-Glutamate[R01716],-,-,-
cluster_11206,dispensable,-,-,-,-,-,-,-,-,-
cluster_11207,dispensable,-,-,-,-,-,-,-,-,-
