Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_2683,dispensable,E,"Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate",3-isopropylmalate dehydratase[4.2.1.33]; (R)-2-methylmalate dehydratase[4.2.1.35],3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit[K01703],"Valine, leucine and isoleucine biosynthesis[map00290]; C5-Branched dibasic acid metabolism[map00660]; Glucosinolate biosynthesis[map00966]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230]","(R)-2-Methylmalate <=> 2-Methylmaleate + H2O[R03896]; 2-Methylmaleate + H2O <=> D-erythro-3-Methylmalate[R03898]; alpha-Isopropylmalate <=> 2-Isopropylmaleate + H2O[R03968]; (2R,3S)-3-Isopropylmalate <=> 2-Isopropylmaleate + H2O[R04001]; 2-(2'-Methylthio)ethylmalic acid <=> 3-(2'-Methylthio)ethylmalic acid[R08620]; 2-(3'-Methylthio)propylmalic acid <=> 3-(3'-Methylthio)propylmalic acid[R08624]; 2-(4'-Methylthio)butylmalic acid <=> 3-(4'-Methylthio)butylmalic acid[R08628]; 2-(5'-Methylthio)pentylmalic acid <=> 3-(5'-Methylthio)pentylmalic acid[R08634]; 2-(6'-Methylthio)hexylmalic acid <=> 3-(6'-Methylthio)hexylmalic acid[R08641]; 2-(7'-Methylthio)heptylmalic acid <=> 3-(7'-Methylthio)heptylmalic acid[R08645]; (2R,3S)-3-Isopropylmalate <=> alpha-Isopropylmalate[R10170]",-,-,-
cluster_2684,dispensable,-,-,-,-,-,-,-,-,-
cluster_2685,dispensable,-,-,-,-,-,-,-,-,-
cluster_2686,dispensable,L,SNF2 family N-terminal domain,-,-,-,-,-,-,-
cluster_2687,dispensable,J,"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity",-,large subunit ribosomal protein L2[K02886],Ribosome[map03010],-,-,-,-
cluster_2688,dispensable,P,Binding-protein-dependent transport system inner membrane component,-,peptide/nickel transport system permease protein[K02033],Quorum sensing[map02024],-,-,-,-
cluster_2689,dispensable,V,lipoprotein transporter activity,-,putative ABC transport system ATP-binding protein[K02003]; putative ABC transport system permease protein[K02004],-,-,-,-,-
cluster_2690,dispensable,-,-,-,-,-,-,-,-,-
cluster_2691,dispensable,G,Sorbitol phosphotransferase enzyme II N-terminus,Protein-N(pi)-phosphohistidine--D-sorbitol phosphotransferase[2.7.1.198],glucitol/sorbitol PTS system EIIB component[K02782]; glucitol/sorbitol PTS system EIIC component[K02783],Fructose and mannose metabolism[map00051]; Phosphotransferase system (PTS)[map02060],Protein N(pi)-phospho-L-histidine + D-Sorbitol <=> Protein histidine + Sorbitol 6-phosphate[R05820],-,-,-
cluster_2692,dispensable,E,Belongs to the Glu Leu Phe Val dehydrogenases family,Glutamate dehydrogenase (NAD(P)(+))[1.4.1.3]; Glutamate dehydrogenase (NADP(+))[1.4.1.4],glutamate dehydrogenase (NAD(P)+)[K00261]; glutamate dehydrogenase (NADP+)[K00262],"Arginine biosynthesis[map00220]; Alanine, aspartate and glutamate metabolism[map00250]; Nitrogen metabolism[map00910]; Metabolic pathways[map01100]; Carbon metabolism[map01200]",L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+[R00243]; L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+[R00248],-,-,-
cluster_2693,dispensable,-,-,-,-,-,-,-,-,-
cluster_2694,dispensable,L,Belongs to the DEAD box helicase family,RNA helicase[3.6.4.13],ATP-dependent RNA helicase DeaD[K05592]; ATP-dependent RNA helicase RhlE[K11927],RNA degradation[map03018],-,-,-,-
cluster_2695,dispensable,L,Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated,Methylated-DNA--[protein]-cysteine S-methyltransferase[2.1.1.63],methylated-DNA-[protein]-cysteine S-methyltransferase[K00567],-,-,-,-,-
cluster_2696,dispensable,M,self proteolysis,-,-,-,-,-,-,-
cluster_2697,dispensable,T,Histidine kinase,Histidine kinase[2.7.13.3],"two-component system, NarL family, sensor histidine kinase DesK[K07778]",Two-component system[map02020],-,-,-,-
cluster_2698,dispensable,L,SNF2 family N-terminal domain,-,-,-,-,-,-,-
cluster_2699,dispensable,E,Binding-protein-dependent transport system inner membrane component,-,polar amino acid transport system permease protein[K02029]; L-cystine transport system permease protein[K10009],ABC transporters[map02010],-,-,-,-
cluster_2700,dispensable,J,"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)",Isoleucine--tRNA ligase[6.1.1.5],isoleucyl-tRNA synthetase[K01870],Aminoacyl-tRNA biosynthesis[map00970],ATP + L-Isoleucine + tRNA(Ile) <=> AMP + Diphosphate + L-Isoleucyl-tRNA(Ile)[R03656],-,-,-
cluster_2701,dispensable,E,amino acid,-,"amino acid transporter, AAT family[K03293]; D-serine/D-alanine/glycine transporter[K11737]",-,-,-,-,-
cluster_2702,dispensable,V,"COG1136 ABC-type antimicrobial peptide transport system, ATPase component",-,putative ABC transport system ATP-binding protein[K02003],-,-,-,-,-
cluster_2703,dispensable,-,-,-,-,-,-,-,-,-
cluster_2704,dispensable,E,"Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate",3-isopropylmalate dehydratase[4.2.1.33]; (R)-2-methylmalate dehydratase[4.2.1.35],3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit[K01703],"Valine, leucine and isoleucine biosynthesis[map00290]; C5-Branched dibasic acid metabolism[map00660]; Glucosinolate biosynthesis[map00966]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230]","(R)-2-Methylmalate <=> 2-Methylmaleate + H2O[R03896]; 2-Methylmaleate + H2O <=> D-erythro-3-Methylmalate[R03898]; alpha-Isopropylmalate <=> 2-Isopropylmaleate + H2O[R03968]; (2R,3S)-3-Isopropylmalate <=> 2-Isopropylmaleate + H2O[R04001]; 2-(2'-Methylthio)ethylmalic acid <=> 3-(2'-Methylthio)ethylmalic acid[R08620]; 2-(3'-Methylthio)propylmalic acid <=> 3-(3'-Methylthio)propylmalic acid[R08624]; 2-(4'-Methylthio)butylmalic acid <=> 3-(4'-Methylthio)butylmalic acid[R08628]; 2-(5'-Methylthio)pentylmalic acid <=> 3-(5'-Methylthio)pentylmalic acid[R08634]; 2-(6'-Methylthio)hexylmalic acid <=> 3-(6'-Methylthio)hexylmalic acid[R08641]; 2-(7'-Methylthio)heptylmalic acid <=> 3-(7'-Methylthio)heptylmalic acid[R08645]; (2R,3S)-3-Isopropylmalate <=> alpha-Isopropylmalate[R10170]",-,-,-
cluster_2705,dispensable,-,-,-,-,-,-,-,-,-
cluster_2706,dispensable,S,Patatin-like phospholipase,-,-,-,-,-,-,-
cluster_2707,dispensable,-,-,-,-,-,-,-,-,-
cluster_2708,dispensable,-,-,-,-,-,-,-,-,-
cluster_2709,dispensable,J,One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome,-,large subunit ribosomal protein L23[K02892],Ribosome[map03010],-,-,-,-
cluster_2710,dispensable,P,cellular response to nickel ion,-,-,-,-,-,-,-
cluster_2711,dispensable,S,Protein of unknown function (DUF3099),-,-,-,-,-,-,-
cluster_2712,dispensable,G,Binding-protein-dependent transport system inner membrane component,-,N-acetylglucosamine transport system permease protein[K10202],ABC transporters[map02010],-,-,-,-
cluster_2713,dispensable,P,ATPases associated with a variety of cellular activities,ABC-type polar-amino-acid transporter[3.6.3.21]; ABC-type ferric hydroxamate transporter[3.6.3.34],iron complex transport system ATP-binding protein[K02013]; polar amino acid transport system ATP-binding protein[K02028]; molybdate transport system ATP-binding protein[K05776],ABC transporters[map02010],-,-,-,-
cluster_2714,dispensable,P,ATPases associated with a variety of cellular activities,ABC-type vitamin B12 transporter[3.6.3.33]; ABC-type ferric hydroxamate transporter[3.6.3.34],iron complex transport system ATP-binding protein[K02013]; vitamin B12 transport system ATP-binding protein[K06074],ABC transporters[map02010],-,-,-,-
cluster_2715,dispensable,K,PRD domain protein,-,"activator of the mannose operon, transcriptional antiterminator[K02538]; beta-glucoside operon transcriptional antiterminator[K03488]",-,-,-,-,-
cluster_2716,dispensable,V,efflux transmembrane transporter activity,-,putative ABC transport system permease protein[K02004],-,-,-,-,-
cluster_2717,dispensable,-,-,-,-,-,-,-,-,-
cluster_2718,dispensable,-,-,-,-,-,-,-,-,-
cluster_2719,dispensable,C,Alcohol dehydrogenase GroES-like domain,Alcohol dehydrogenase[1.1.1.1],"alcohol/geraniol dehydrogenase (NADP+)[K12957]; alcohol dehydrogenase, propanol-preferring[K13953]; alcohol dehydrogenase (NADP+)[K13979]",Glycolysis / Gluconeogenesis[map00010]; Fatty acid degradation[map00071]; Tyrosine metabolism[map00350]; Chloroalkane and chloroalkene degradation[map00625]; Naphthalene degradation[map00626]; Retinol metabolism[map00830]; Metabolism of xenobiotics by cytochrome P450[map00980]; Drug metabolism - cytochrome P450[map00982]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Degradation of aromatic compounds[map01220],"Primary alcohol + NAD+ <=> Aldehyde + NADH + H+[R00623]; Ethanol + NAD+ <=> Acetaldehyde + NADH + H+[R00754]; Retinol + NAD+ <=> Retinal + NADH + H+[R02124]; 3,4-Dihydroxyphenylethyleneglycol + NAD+ <=> 3,4-Dihydroxymandelaldehyde + NADH + H+[R04880]; trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+[R05233]; cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+[R05234]; 1-Hydroxymethylnaphthalene + NAD+ <=> 1-Naphthaldehyde + NADH + H+[R06917]; (2-Naphthyl)methanol + NAD+ <=> 2-Naphthaldehyde + NADH + H+[R06927]; Chloral hydrate + NADH + H+ <=> Trichloroethanol + NAD+ + H2O[R07105]; Aldophosphamide + NADH + H+ <=> Alcophosphamide + NAD+[R08281]; 2-Phenyl-1,3-propanediol monocarbamate + NAD+ <=> 3-Carbamoyl-2-phenylpropionaldehyde + NADH + H+[R08306]; 4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+[R08310]",-,-,-
cluster_2720,dispensable,G,beta-N-acetylglucosaminidase,Histone acetyltransferase[2.3.1.48]; Protein O-GlcNAcase[3.2.1.169]; Hyaluronoglucosaminidase[3.2.1.35],hyaluronoglucosaminidase[K01197]; protein O-GlcNAcase / histone acetyltransferase[K15719],Glycosaminoglycan degradation[map00531]; Metabolic pathways[map01100],G13043 + H2O <=> DWA-2 + N-Acetylgalactosamine[R07824]; G12336 + H2O <=> DWA-2 + N-Acetylgalactosamine 4-sulfate[R07825]; [Protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine + H2O <=> [Protein]-L-serine + N-Acetyl-D-glucosamine[R09672]; [Protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine + H2O <=> [Protein]-L-threonine + N-Acetyl-D-glucosamine[R09673]; Hyaluronic acid + H2O <=> Hyaluronic acid + G00526[R10905],-,-,-
cluster_2721,dispensable,-,-,-,-,-,-,-,-,-
cluster_2722,dispensable,OU,"NfeD-like C-terminal, partner-binding",-,inner membrane protein[K07340],-,-,-,-,-
cluster_2723,dispensable,I,Enoyl- acyl-carrier-protein reductase NADH,"Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)[1.3.1.10]; Enoyl-[acyl-carrier-protein] reductase (NADH)[1.3.1.9]",enoyl-[acyl-carrier protein] reductase I[K00208]; meromycolic acid enoyl-[acyl-carrier-protein] reductase[K11611],Fatty acid biosynthesis[map00061]; Prodigiosin biosynthesis[map00333]; Biotin metabolism[map00780]; Metabolic pathways[map01100]; Fatty acid metabolism[map01212],"Acyl-[acyl-carrier protein] + NADP+ <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + NADPH + H+[R01404]; Butyryl-[acp] + NAD+ <=> But-2-enoyl-[acyl-carrier protein] + NADH + H+[R04429]; Butyryl-[acp] + NADP+ <=> But-2-enoyl-[acyl-carrier protein] + NADPH + H+[R04430]; Dodecanoyl-[acyl-carrier protein] + NAD+ <=> trans-Dodec-2-enoyl-[acp] + NADH + H+[R04724]; Dodecanoyl-[acyl-carrier protein] + NADP+ <=> trans-Dodec-2-enoyl-[acp] + NADPH + H+[R04725]; Hexanoyl-[acp] + NAD+ <=> trans-Hex-2-enoyl-[acp] + NADH + H+[R04955]; Hexanoyl-[acp] + NADP+ <=> trans-Hex-2-enoyl-[acp] + NADPH + H+[R04956]; Octanoyl-[acp] + NAD+ <=> trans-Oct-2-enoyl-[acp] + NADH + H+[R04958]; Octanoyl-[acp] + NADP+ <=> trans-Oct-2-enoyl-[acp] + NADPH + H+[R04959]; Decanoyl-[acp] + NAD+ <=> trans-Dec-2-enoyl-[acp] + NADH + H+[R04961]; Decanoyl-[acp] + NADP+ <=> trans-Dec-2-enoyl-[acp] + NADPH + H+[R04962]; Tetradecanoyl-[acp] + NAD+ <=> trans-Tetradec-2-enoyl-[acp] + NADH + H+[R04966]; Tetradecanoyl-[acp] + NADP+ <=> trans-Tetradec-2-enoyl-[acp] + NADPH + H+[R04967]; Hexadecanoyl-[acp] + NAD+ <=> trans-Hexadec-2-enoyl-[acp] + NADH + H+[R04969]; Hexadecanoyl-[acp] + NADP+ <=> trans-Hexadec-2-enoyl-[acp] + NADPH + H+[R04970]; (2E)-Octadecenoyl-[acp] + NADH + H+ <=> Octadecanoyl-[acyl-carrier protein] + NAD+[R07765]; Enoylglutaryl-[acp] methyl ester + NADPH + H+ <=> Glutaryl-[acp] methyl ester + NADP+[R10118]; Enoylpimeloyl-[acp] methyl ester + NADPH + H+ <=> Pimeloyl-[acyl-carrier protein] methyl ester + NADP+[R10122]; Malonyl-CoA + Acetyl-CoA <=> Dodecanoyl-[acyl-carrier protein][R11671]",-,-,-
cluster_2724,dispensable,IQ,Enoyl-(Acyl carrier protein) reductase,3-oxoacyl-[acyl-carrier-protein] reductase[1.1.1.100],3-oxoacyl-[acyl-carrier protein] reductase[K00059],Fatty acid biosynthesis[map00061]; Prodigiosin biosynthesis[map00333]; Biotin metabolism[map00780]; Biosynthesis of unsaturated fatty acids[map01040]; Metabolic pathways[map01100]; Fatty acid metabolism[map01212],(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+[R04533]; (3R)-3-Hydroxydecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxodecanoyl-[acp] + NADPH[R04534]; (3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxooctanoyl-[acp] + NADPH + H+[R04536]; (3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxohexadecanoyl-[acp] + NADPH + H+[R04543]; (3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxotetradecanoyl-[acp] + NADPH + H+[R04566]; (R)-3-Hydroxyhexanoyl-[acp] + NADP+ <=> 3-Oxohexanoyl-[acp] + NADPH + H+[R04953]; (R)-3-Hydroxydodecanoyl-[acp] + NADP+ <=> 3-Oxododecanoyl-[acp] + NADPH + H+[R04964]; 3-Oxostearoyl-CoA + NADPH + H+ <=> 3-Hydroxyoctadecanoyl-CoA + NADP+[R07759]; 3-Oxostearoyl-[acp] + NADPH + H+ <=> (R)-3-Hydroxyoctadecanoyl-[acp] + NADP+[R07763]; 3-Ketoglutaryl-[acp] methyl ester + NADPH + H+ <=> 3-Hydroxyglutaryl-[acp] methyl ester + NADP+[R10116]; 3-Ketopimeloyl-[acp] methyl ester + NADPH + H+ <=> 3-Hydroxypimeloyl-[acp] methyl ester + NADP+[R10120]; Malonyl-CoA + Acetyl-CoA <=> Dodecanoyl-[acyl-carrier protein][R11671],-,-,-
cluster_2725,dispensable,Q,Methyltransferase,23S rRNA (guanine(745)-N(1))-methyltransferase[2.1.1.187],23S rRNA (guanine745-N1)-methyltransferase[K00563],-,S-Adenosyl-L-methionine + rRNA <=> S-Adenosyl-L-homocysteine + rRNA containing N1-methylguanine[R07233],-,-,-
cluster_2726,dispensable,S,Glycosyltransferase family 87,-,"alpha-1,2-mannosyltransferase[K13671]",-,-,-,-,-
cluster_2727,dispensable,G,Pts system,Protein-N(pi)-phosphohistidine--N-acetyl-D-glucosamine phosphotransferase[2.7.1.193]; Protein-N(pi)-phosphohistidine--D-glucose phosphotransferase[2.7.1.199],sugar PTS system EIIA component[K02777]; glucose PTS system EIICBA or EIICB component[K20118],Glycolysis / Gluconeogenesis[map00010]; Starch and sucrose metabolism[map00500]; Amino sugar and nucleotide sugar metabolism[map00520]; Biofilm formation - Escherichia coli[map02026]; Phosphotransferase system (PTS)[map02060]; Biofilm formation - Vibrio cholerae[map05111],"Protein N(pi)-phospho-L-histidine + D-Glucose <=> Protein histidine + alpha-D-Glucose 6-phosphate[R02738]; alpha,alpha-Trehalose + Protein N(pi)-phospho-L-histidine <=> alpha,alpha'-Trehalose 6-phosphate + Protein histidine[R02780]; Protein N(pi)-phospho-L-histidine + Maltose <=> Protein histidine + Maltose 6'-phosphate[R04111]; Protein N(pi)-phospho-L-histidine + Salicin <=> Protein histidine + Salicin 6-phosphate[R04394]; Protein N(pi)-phospho-L-histidine + Arbutin <=> Protein histidine + Arbutin 6-phosphate[R05132]; Protein N(pi)-phospho-L-histidine + N-Acetyl-D-glucosamine <=> Protein histidine + N-Acetyl-D-glucosamine 6-phosphate[R05199]; N-Acetylmuramate + Protein N(pi)-phospho-L-histidine <=> N-Acetylmuramic acid 6-phosphate + Protein histidine[R08559]",-,-,-
cluster_2728,dispensable,L,DNA polymerase I - 3'-5' exonuclease and polymerase domains,DNA-directed DNA polymerase[2.7.7.7],DNA polymerase bacteriophage-type[K02334]; DNA polymerase I[K02335],Purine metabolism[map00230]; Pyrimidine metabolism[map00240]; Metabolic pathways[map01100]; DNA replication[map03030]; Base excision repair[map03410]; Nucleotide excision repair[map03420]; Homologous recombination[map03440],dATP + DNA <=> Diphosphate + DNA[R00375]; dGTP + DNA <=> Diphosphate + DNA[R00376]; dCTP + DNA <=> Diphosphate + DNA[R00377]; dTTP + DNA <=> Diphosphate + DNA[R00378],-,-,-
cluster_2729,dispensable,-,-,-,-,-,-,-,-,-
cluster_2730,dispensable,-,-,-,-,-,-,-,-,-
cluster_2731,dispensable,-,-,-,-,-,-,-,-,-
cluster_2732,dispensable,S,SURF1 family,-,surfeit locus 1 family protein[K14998],-,-,-,-,-
cluster_2733,dispensable,G,"Glycosyl hydrolase family 65, N-terminal domain",Alpha-L-fucosidase[3.2.1.51],alpha-L-fucosidase 2[K15923],Other glycan degradation[map00511],-,-,-,-
cluster_2734,dispensable,L,DNA polymerase I - 3'-5' exonuclease and polymerase domains,DNA-directed DNA polymerase[2.7.7.7],DNA polymerase bacteriophage-type[K02334]; DNA polymerase I[K02335],Purine metabolism[map00230]; Pyrimidine metabolism[map00240]; Metabolic pathways[map01100]; DNA replication[map03030]; Base excision repair[map03410]; Nucleotide excision repair[map03420]; Homologous recombination[map03440],dATP + DNA <=> Diphosphate + DNA[R00375]; dGTP + DNA <=> Diphosphate + DNA[R00376]; dCTP + DNA <=> Diphosphate + DNA[R00377]; dTTP + DNA <=> Diphosphate + DNA[R00378],-,-,-
cluster_2735,dispensable,G,"SMART alpha amylase, catalytic sub domain","Oligo-1,6-glucosidase[3.2.1.10]; Alpha-glucosidase[3.2.1.20]; Alpha,alpha-phosphotrehalase[3.2.1.93]","oligo-1,6-glucosidase[K01182]; alpha-glucosidase[K01187]; trehalose-6-phosphate hydrolase[K01226]",Galactose metabolism[map00052]; Starch and sucrose metabolism[map00500]; Metabolic pathways[map01100],"Maltose + H2O <=> 2 D-Glucose[R00028]; Sucrose + H2O <=> D-Fructose + D-Glucose[R00801]; Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose[R00802]; H2O + alpha,alpha'-Trehalose 6-phosphate <=> D-Glucose + D-Glucose 6-phosphate[R00837]; Isomaltose + H2O <=> alpha-D-Glucose + D-Glucose[R01718]; Dextrin + H2O <=> D-Glucose + Dextrin[R01791]; Sucrose + H2O <=> D-Fructose + D-Glucose[R06087]; Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose[R06088]; H2O + Trehalose 6-phosphate <=> D-Glucose + D-Glucose 6-phosphate[R06113]; Starch(n+1) + H2O <=> alpha-D-Glucose + Starch(n)[R06199]",-,-,-
cluster_2736,dispensable,V,efflux transmembrane transporter activity,-,putative ABC transport system permease protein[K02004],-,-,-,-,-
cluster_2737,dispensable,M,COG3209 Rhs family protein,-,-,-,-,-,-,-
cluster_2738,dispensable,G,Pts system,Protein-N(pi)-phosphohistidine--N-acetyl-D-glucosamine phosphotransferase[2.7.1.193]; Protein-N(pi)-phosphohistidine--D-glucose phosphotransferase[2.7.1.199]; Protein-N(pi)-phosphohistidine--sucrose phosphotransferase[2.7.1.211],beta-glucoside PTS system EIIA component[K02755]; beta-glucoside PTS system EIICBA component[K02757]; sugar PTS system EIIA component[K02777]; glucose PTS system EIIB component[K02778]; glucose PTS system EIICB or EIICBA component[K02779]; sucrose PTS system EIIBCA or EIIBC component[K02810],Glycolysis / Gluconeogenesis[map00010]; Starch and sucrose metabolism[map00500]; Amino sugar and nucleotide sugar metabolism[map00520]; Biofilm formation - Escherichia coli[map02026]; Phosphotransferase system (PTS)[map02060]; Biofilm formation - Vibrio cholerae[map05111],"Sucrose + Protein N(pi)-phospho-L-histidine <=> Sucrose 6-phosphate + Protein histidine[R00811]; Protein N(pi)-phospho-L-histidine + D-Glucose <=> Protein histidine + alpha-D-Glucose 6-phosphate[R02738]; alpha,alpha-Trehalose + Protein N(pi)-phospho-L-histidine <=> alpha,alpha'-Trehalose 6-phosphate + Protein histidine[R02780]; Protein N(pi)-phospho-L-histidine + Maltose <=> Protein histidine + Maltose 6'-phosphate[R04111]; Protein N(pi)-phospho-L-histidine + Salicin <=> Protein histidine + Salicin 6-phosphate[R04394]; Protein N(pi)-phospho-L-histidine + Arbutin <=> Protein histidine + Arbutin 6-phosphate[R05132]; Protein N(pi)-phospho-L-histidine + N-Acetyl-D-glucosamine <=> Protein histidine + N-Acetyl-D-glucosamine 6-phosphate[R05199]; N-Acetylmuramate + Protein N(pi)-phospho-L-histidine <=> N-Acetylmuramic acid 6-phosphate + Protein histidine[R08559]",-,-,-
cluster_2739,dispensable,P,FecCD transport family,-,iron complex transport system permease protein[K02015],ABC transporters[map02010],-,-,-,-
cluster_2740,dispensable,-,-,-,-,-,-,-,-,-
cluster_2741,dispensable,EGP,Major facilitator superfamily,-,"MFS transporter, MHS family, alpha-ketoglutarate permease[K03761]; MFS transporter, MHS family, proline/betaine transporter[K03762]",-,-,-,-,-
cluster_2742,dispensable,-,-,-,-,-,-,-,-,-
cluster_2743,dispensable,G,Glycosyl hydrolases family 18,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase[3.2.1.96],mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase[K01227],Other glycan degradation[map00511],-,-,-,-
cluster_2744,dispensable,-,-,-,-,-,-,-,-,-
cluster_2745,dispensable,S,acetyltransferases and hydrolases with the alpha beta hydrolase fold,Triacylglycerol lipase[3.1.1.3],triacylglycerol lipase[K01046],Glycerolipid metabolism[map00561]; Metabolic pathways[map01100],"Triacylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + Fatty acid[R02250]; 1,2-Diacyl-sn-glycerol + H2O <=> 1-Acylglycerol + Fatty acid[R02687]",-,-,-
cluster_2746,dispensable,-,-,-,-,-,-,-,-,-
cluster_2747,dispensable,F,Belongs to the purine-cytosine permease (2.A.39) family,-,"nucleobase:cation symporter-1, NCS1 family[K03457]",-,-,-,-,-
cluster_2748,dispensable,M,COG3209 Rhs family protein,-,-,-,-,-,-,-
cluster_2749,dispensable,C,alcohol dehydrogenase,Alcohol dehydrogenase[1.1.1.1]; S-(hydroxymethyl)glutathione dehydrogenase[1.1.1.284],S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase[K00121],Glycolysis / Gluconeogenesis[map00010]; Fatty acid degradation[map00071]; Tyrosine metabolism[map00350]; Chloroalkane and chloroalkene degradation[map00625]; Naphthalene degradation[map00626]; Methane metabolism[map00680]; Retinol metabolism[map00830]; Metabolism of xenobiotics by cytochrome P450[map00980]; Drug metabolism - cytochrome P450[map00982]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]; Degradation of aromatic compounds[map01220],"Primary alcohol + NAD+ <=> Aldehyde + NADH + H+[R00623]; Ethanol + NAD+ <=> Acetaldehyde + NADH + H+[R00754]; Retinol + NAD+ <=> Retinal + NADH + H+[R02124]; 3,4-Dihydroxyphenylethyleneglycol + NAD+ <=> 3,4-Dihydroxymandelaldehyde + NADH + H+[R04880]; trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+[R05233]; cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+[R05234]; 1-Hydroxymethylnaphthalene + NAD+ <=> 1-Naphthaldehyde + NADH + H+[R06917]; (2-Naphthyl)methanol + NAD+ <=> 2-Naphthaldehyde + NADH + H+[R06927]; S-(Hydroxymethyl)glutathione + NAD+ <=> S-Formylglutathione + NADH + H+[R06983]; Chloral hydrate + NADH + H+ <=> Trichloroethanol + NAD+ + H2O[R07105]; Aldophosphamide + NADH + H+ <=> Alcophosphamide + NAD+[R08281]; 2-Phenyl-1,3-propanediol monocarbamate + NAD+ <=> 3-Carbamoyl-2-phenylpropionaldehyde + NADH + H+[R08306]; 4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+[R08310]",-,-,-
cluster_2750,dispensable,C,Belongs to the aldehyde dehydrogenase family,Succinate-semialdehyde dehydrogenase (NAD(P)(+))[1.2.1.16]; Glutarate-semialdehyde dehydrogenase[1.2.1.20]; Succinate-semialdehyde dehydrogenase (NADP(+))[1.2.1.79],succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase[K00135],"Alanine, aspartate and glutamate metabolism[map00250]; Lysine degradation[map00310]; Tyrosine metabolism[map00350]; Butanoate metabolism[map00650]; Nicotinate and nicotinamide metabolism[map00760]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]",Succinate semialdehyde + NAD+ + H2O <=> Succinate + NADH + H+[R00713]; Succinate semialdehyde + NADP+ + H2O <=> Succinate + NADPH + H+[R00714]; 5-Oxopentanoate + NAD+ + H2O <=> Glutarate + NADH + H+[R02401],-,-,-
